example_id                                                   | status | run_time        |
./spec/requests/api/v1/reservations_spec.rb[1:3]             | passed | 0.05759 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:4]             | passed | 0.06347 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:5]             | passed | 0.0387 seconds  |
./spec/requests/api/v1/reservations_spec.rb[1:6]             | passed | 0.02457 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:7]             | passed | 0.02302 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:8]             | passed | 0.0425 seconds  |
./spec/requests/api/v1/reservations_spec.rb[1:9]             | passed | 0.04088 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:10]            | passed | 0.02534 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:11]            | passed | 0.04775 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:12]            | passed | 0.04167 seconds |
./spec/requests/api/v1/reservations_spec.rb[1:13]            | passed | 0.04356 seconds |
./spec/services/availability_listener_spec.rb[1:1:1]         | passed | 0.01296 seconds |
./spec/services/availability_listener_spec.rb[1:1:2]         | passed | 0.05835 seconds |
./spec/services/availability_listener_spec.rb[1:1:3]         | passed | 0.05119 seconds |
./spec/services/availability_listener_spec.rb[1:1:4]         | passed | 0.04989 seconds |
./spec/services/availability_listener_spec.rb[1:1:5]         | passed | 0.02979 seconds |
./spec/services/availability_listener_spec.rb[1:2:1]         | passed | 0.00574 seconds |
./spec/services/availability_listener_spec.rb[1:2:2]         | passed | 0.01474 seconds |
./spec/services/availability_listener_spec.rb[1:3:1]         | passed | 0.01286 seconds |
./spec/services/availability_listener_spec.rb[1:3:2]         | passed | 0.01579 seconds |
./spec/services/availability_listener_spec.rb[1:4:1]         | passed | 0.0126 seconds  |
./spec/services/availability_listener_spec.rb[1:4:2]         | passed | 0.02811 seconds |
./spec/services/availability_listener_spec.rb[1:4:3]         | passed | 0.00521 seconds |
./spec/services/availability_listener_spec.rb[1:5:1]         | passed | 0.01247 seconds |
./spec/services/availability_listener_spec.rb[1:5:2]         | passed | 0.02553 seconds |
./spec/services/availability_listener_spec.rb[1:5:3]         | passed | 0.00686 seconds |
./spec/services/availability_listener_spec.rb[1:6:1]         | passed | 0.01101 seconds |
./spec/services/availability_listener_spec.rb[1:6:2]         | passed | 0.02886 seconds |
./spec/services/availability_listener_spec.rb[1:6:3]         | passed | 0.0276 seconds  |
./spec/services/availability_listener_spec.rb[1:6:4]         | passed | 0.02767 seconds |
./spec/services/availability_listener_spec.rb[1:6:5]         | passed | 0.03097 seconds |
./spec/services/availability_listener_spec.rb[1:6:6]         | passed | 0.02802 seconds |
./spec/services/availability_listener_spec.rb[1:7:1]         | passed | 0.0138 seconds  |
./spec/services/availability_listener_spec.rb[1:7:2]         | passed | 0.01295 seconds |
./spec/services/availability_listener_spec.rb[1:7:3]         | passed | 0.01423 seconds |
./spec/services/availability_listener_spec.rb[1:7:4]         | passed | 0.01318 seconds |
./spec/services/availability_listener_spec.rb[1:7:5]         | passed | 0.0129 seconds  |
./spec/services/availability_listener_spec.rb[1:7:6]         | passed | 0.0129 seconds  |
./spec/services/availability_listener_spec.rb[1:7:7]         | passed | 0.01303 seconds |
./spec/services/availability_listener_spec.rb[1:8:1]         | passed | 0.02646 seconds |
./spec/services/availability_listener_spec.rb[1:8:2]         | passed | 0.01226 seconds |
./spec/services/availability_listener_spec.rb[1:8:3]         | passed | 0.02736 seconds |
./spec/services/availability_listener_spec.rb[1:9:1]         | passed | 0.03197 seconds |
./spec/services/availability_listener_spec.rb[1:9:2]         | passed | 0.01188 seconds |
